Панфилова,Виталина,Биотехнологический факультет,3,Отличник,22.10.2003,+62-500-895321,
Смирнов,Никодим,Факультет почвоведения,3,Двоечник,12.5.2003,+51-129-966318,
Кудрявцева,Ника,Факультет фундаментальной медицины,2,Отличник,11.10.2004,+83-229-972305,
Вишняков,Анфим,Высшая школа телевидения,5,Отличник,9.8.2001,+82-436-501638,
Игнатьева,Прасковья,Высшая школа управления и инноваций,1,Троешник,18.1.2005,+22-131-292778,
Наумова,Азалия,Факультет политологии,3,Двоечник,10.4.2003,+56-328-918790,
Анисимов,Максим,Исторический факультет,3,Хорошист,13.7.2003,+7-160-331035,
Ершова,Федерика,Высшая школа бизнеса,1,Отличник,20.10.2005,+46-304-423866,
Суворов,Кузьма,Факультет политологии,3,Хорошист,29.10.2003,+51-488-569560,
Беспалов,Виктор,Биологический факультет,3,Отличник,29.8.2003,+98-478-497657,
Белякова,Предслава,Геологический факультет,4,Двоечник,8.4.2002,+86-233-744075,
Устинов,Лукий,Факультет журналистики,1,Троешник,6.8.2005,+54-331-440489,
Гришина,Артемида,Высшая школа перевода,4,Троешник,16.7.2002,+62-207-870893,
Калинин,Геласий,Факультет мировой политики,2,Двоечник,10.11.2004,+1-259-273262,
Комиссаров,Валерий,Факультет психологии,4,Отличник,3.2.2002,+15-137-483188,
Никифорова,Барбара,Факультет психологии,5,Двоечник,4.4.2001,+30-126-493529,
Колобов,Артур,Факультет психологии,5,Отличник,6.9.2001,+83-287-550208,
Герасимова,Мириам,Факультет биоинженерии и биоинформатики,5,Хорошист,5.3.2001,+55-450-993770,
Лазарева,Зорина,Факультет фундаментальной физико-химической инженерии,4,Хорошист,5.10.2002,+71-150-736757,
Борисова,Анджела,Высшая школа культурной политики и управления в гуманитарной сфере,1,Двоечник,25.9.2005,+74-258-425919,
Мельникова,Феония,Филологический факультет,1,Хорошист,7.9.2005,+58-483-966259,
Капустина,Мира,Философский факультет,5,Троешник,6.2.2001,+2-220-519925,
Карпова,Александрия,Факультет фундаментальной физико-химической инженерии,1,Троешник,10.12.2005,+11-357-238353,
Воронова,Фатина,Исторический факультет,2,Хорошист,26.2.2004,+74-138-402490,
Степанова,Радослава,Факультет государственного управления,1,Троешник,27.2.2005,+63-281-772003,
Гущин,Изот,Московская школа экономики,3,Двоечник,6.3.2003,+1-156-787331,
Игнатова,Славяна,Факультет фундаментальной физико-химической инженерии,3,Хорошист,9.3.2003,+53-367-575193,
Гришина,Милена,Факультет биоинженерии и биоинформатики,2,Двоечник,23.2.2004,+96-390-204600,
Белов,Лукьян,Высшая школа телевидения,5,Отличник,3.8.2001,+19-106-284251,
Степанова,Ермиония,Философский факультет,4,Хорошист,9.8.2002,+48-340-893670,
Ершова,Элина,Высшая школа телевидения,2,Троешник,16.4.2004,+82-269-183191,
Зайцев,Родион,Социологический факультет,5,Двоечник,1.4.2001,+23-357-401418,
Прохоров,Артём,Биотехнологический факультет,5,Двоечник,13.10.2001,+59-268-151903,
Носкова,Сандра,Физический факультет,5,Хорошист,17.5.2001,+19-494-965405,
Рябова,Лиля,Высшая школа бизнеса,4,Двоечник,9.5.2002,+68-334-620217,
Цветкова,Василина,Институт стран Азии и Африки,2,Хорошист,27.10.2004,+25-492-565710,
Громов,Эраст,Высшая школа телевидения,3,Двоечник,7.2.2003,+18-333-800369,
Пономарёва,Ия,Химический факультет,5,Отличник,25.11.2001,+30-412-188038,
Мишин,Антон,Факультет журналистики,3,Отличник,10.5.2003,+2-487-478563,
Власова,Марина,Факультет журналистики,4,Отличник,20.11.2002,+87-274-533253,
Стрелков,Геласий,Исторический факультет,1,Троешник,28.6.2005,+65-419-160301,
